feature,mean_abs_shap
num__Readiness_Strength,0.10576134398725236
num__Injury_History_Weight,0.06901543629402185
num__Reaction_Time_ms,0.0602246379668598
num__Sleep_Hours_Per_Night,0.053899907194842604
num__Sprint_Speed_10m_s,0.047639221181458816
num__Stress_Level_Score,0.04443112765783528
num__Prep_Score,0.04428267061183402
num__Balance_Test_Score,0.04008795825427753
num__Agility_Score,0.029392621532783703
num__Hamstring_Flexibility,0.026524066700560817
num__Nutrition_Quality_Score,0.02288090818672371
num__Knee_Strength_Score,0.020897702158244057
num__Previous_Injury_Count,0.010835806538588939
num__Warmup_Routine_Adherence,0.006798004354606807
num__Height_cm,0.004384806200895417
num__Matches_Played_Past_Season,0.0037926915208513754
num__Training_Hours_Per_Week,0.003280430756465602
num__BMI,0.0025567876521616455
num__Workload_Index,0.002215254506598981
num__Weight_kg,0.0016334694041814657
num__Age,0.0012772141958825522
cat__Position_Goalkeeper,0.0010275301670137156
cat__Position_Forward,0.0007533423401597011
cat__Position_Midfielder,0.0004634936933685859
